t,count
43400,64
43420,85
43440,88
43460,86
43480,84
43500,88
43520,69
43540,77
43560,96
43580,81
43600,66
43620,95
43640,96
43660,88
43680,77
43700,85
43720,68
43740,96
43760,79
43780,94
43800,90
43820,67
43840,68
43860,85
43880,68
43900,98
43920,80
43940,101
43960,75
43980,70
44000,78
44020,110
44040,69
44060,92
44080,96
44100,77
44120,94
44140,76
44160,76
44180,117
44200,92
44220,69
44240,80
44260,84
44280,84
44300,64
44320,65
44340,92
44360,70
44380,81
44400,82
44420,87
44440,84
44460,78
44480,88
44500,89
44520,77
44540,98
44560,56
44580,78
44600,88
44620,86
44640,84
44660,96
44680,77
44700,76
44720,59
44740,78
44760,77
44780,72
44800,76
44820,101
44840,79
44860,82
44880,79
44900,73
44920,63
44940,92
44960,74
44980,73
45000,86
45020,88
45040,70
45060,82
45080,63
45100,75
45120,96
45140,64
45160,96
45180,84
45200,70
45220,75
45240,78
45260,84
45280,72
45300,67
45320,100
45340,66
45360,62
45380,76
45400,87
45420,107
45440,76
45460,68
45480,91
45500,61
45520,102
45540,76
45560,91
45580,83
45600,84
45620,98
45640,78
45660,88
45680,80
45700,80
45720,81
45740,64
45760,58
45780,51
45800,98
45820,64
45840,74
45860,106
45880,79
45900,88
45920,97
45940,64
45960,66
45980,68
46000,65
46020,105
46040,86
46060,69
46080,66
46100,82
46120,69
46140,77
46160,86
46180,70
46200,100
46220,87
46240,88
46260,92
46280,80
46300,76
46320,75
46340,82
46360,70
46380,61
46400,76
46420,96
46440,68
46460,75
46480,80
46500,83
46520,72
46540,64
46560,81
46580,60
46600,91
46620,75
46640,75
46660,84
46680,79
46700,94
46720,82
46740,75
46760,82
46780,84
46800,62
46820,66
46840,70
46860,102
46880,90
46900,62
46920,73
46940,72
46960,71
46980,75
47000,66
47020,90
47040,83
47060,62
47080,67
47100,94
47120,82
47140,82
47160,127
47180,78
47200,93
47220,88
47240,78
47260,70
47280,77
47300,87
47320,80
47340,60
47360,70
47380,93
47400,93
47420,46
47440,78
47460,94
47480,90
47500,75
47520,63
47540,66
47560,89
47580,78
47600,69
47620,69
47640,66
47660,88
47680,72
47700,61
47720,71
47740,82
47760,78
47780,75
47800,50
47820,75
47840,90
47860,93
47880,50
47900,85
47920,80
47940,93
47960,79
47980,71
48000,74
48020,99
48040,90
48060,85
48080,71
48100,81
48120,65
48140,88
48160,62
48180,72
48200,70
48220,72
48240,66
48260,69
48280,78
48300,67
48320,87
48340,71
48360,85
48380,81
48400,73
48420,90
48440,70
48460,93
48480,55
48500,79
48520,52
48540,69
48560,74
48580,79
48600,82
48620,52
48640,63
48660,90
48680,84
48700,82
48720,68
48740,83
48760,87
48780,60
48800,87
48820,48
48840,44
48860,93
48880,70
48900,77
48920,73
48940,53
48960,66
48980,60
49000,59
49020,74
49040,78
49060,66
49080,52
49100,78
49120,66
49140,89
49160,74
49180,61
49200,74
49220,60
49240,64
49260,82
49280,63
49300,82
49320,72
49340,77
49360,58
49380,86
49400,77
49420,72
49440,81
49460,81
49480,69
49500,71
49520,87
49540,56
49560,66
49580,74
49600,66
49620,84
49640,81
49660,83
49680,98
49700,73
49720,71
49740,69
49760,68
49780,75
49800,80
49820,89
49840,80
49860,81
49880,79
49900,94
49920,64
49940,71
49960,55
49980,100
50000,67
50020,69
50040,81
50060,42
50080,75
50100,102
50120,62
50140,104
50160,74
50180,97
50200,104
50220,64
50240,65
50260,86
50280,66
50300,86
50320,79
50340,77
50360,80
50380,57
50400,72
50420,90
50440,68
50460,92
50480,82
50500,85
50520,63
50540,73
50560,83
50580,57
50600,73
50620,75
50640,75
50660,83
50680,86
50700,54
50720,66
50740,74
50760,63
50780,54
50800,76
50820,72
50840,76
50860,88
50880,77
50900,80
50920,63
50940,77
50960,73
50980,87
51000,74
51020,96
51040,80
51060,58
51080,82
51100,80
51120,71
51140,60
51160,68
51180,58
51200,52
51220,68
51240,70
51260,78
51280,55
51300,104
51320,72
51340,120
51360,71
51380,74
51400,58
51420,66
51440,63
51460,79
51480,64
51500,62
51520,51
51540,56
51560,82
51580,89
51600,83
51620,82
51640,68
51660,87
51680,63
51700,66
51720,66
51740,84
51760,87
51780,76
51800,77
51820,73
51840,74
51860,68
51880,54
51900,62
51920,75
51940,78
51960,96
51980,65
52000,77
52020,86
52040,85
52060,76
52080,62
52100,61
52120,90
52140,52
52160,62
52180,62
52200,64
52220,69
52240,68
52260,80
52280,75
52300,58
52320,80
52340,58
52360,71
52380,94
52400,83
52420,61
52440,75
52460,59
52480,71
52500,87
52520,73
52540,79
52560,85
52580,81
52600,79
52620,72
52640,67
52660,92
52680,84
52700,73
52720,92
52740,79
52760,62
52780,59
52800,64
52820,98
52840,78
52860,77
52880,62
52900,74
52920,84
52940,82
52960,80
52980,74
53000,73
53020,85
53040,73
53060,60
53080,80
53100,56
53120,70
53140,73
53160,72
53180,77
53200,64
53220,61
53240,57
53260,74
53280,41
53300,55
53320,68
53340,89
53360,64
53380,86
53400,67
53420,76
53440,66
53460,90
53480,97
53500,90
53520,72
53540,77
53560,71
53580,58
53600,81
53620,74
53640,71
53660,57
53680,60
53700,52
53720,84
53740,93
53760,66
53780,62
53800,86
53820,77
53840,77
53860,63
53880,86
53900,60
53920,97
53940,68
53960,56
53980,64
54000,74
54020,68
54040,79
54060,86
54080,82
54100,85
54120,62
54140,74
54160,59
54180,74
54200,87
54220,90
54240,66
54260,100
54280,80
54300,81
54320,53
54340,93
54360,64
54380,58
54400,58
54420,82
54440,90
54460,65
54480,73
54500,87
54520,71
54540,64
54560,55
54580,65
54600,66
54620,78
54640,76
54660,76
54680,58
54700,80
54720,71
54740,58
54760,84
54780,71
54800,76
54820,77
54840,74
54860,79
54880,63
54900,95
54920,70
54940,59
54960,88
54980,69
55000,80
55020,71
55040,80
55060,66
55080,69
55100,90
55120,67
55140,61
55160,60
55180,68
55200,90
55220,82
55240,91
55260,90
55280,63
55300,83
55320,67
55340,56
55360,46
55380,73
55400,68
55420,73
55440,81
55460,78
55480,88
55500,64
55520,66
55540,64
55560,75
55580,72
55600,60
55620,82
55640,46
55660,54
55680,86
55700,73
55720,60
55740,62
55760,66
55780,68
55800,68
55820,76
55840,77
55860,61
55880,61
55900,60
55920,63
55940,94
55960,63
55980,75
56000,80
56020,78
56040,62
56060,88
56080,68
